timeframe,feature_name,source_phase,source_priority,candidate_role,selection_status,semantic_concept,expected_direction,monotonicity,event_conditioned,availability_count,missing_count,primary_comparison,primary_effect_size,secondary_evidence,max_abs_corr_same_timeframe,max_abs_corr_cross_timeframe,redundancy_group,redundancy_with,human_observation,case_study_support,known_counterexample,known_limitation,missing_semantics,selection_rationale,next_phase_usage
WEEKLY,higher_weekly_low_count_13w,13E,HIGH,WEEKLY_CORE,PRIMARY,weekly higher-low structure,MORE_HIGHER_LOWS_IS_STRUCTURALLY_STRONGER,EXPECTED_POSITIVE,NO,40,0,GOOD_TRIGGER vs NO_SETUP,0.7654320987654321,direct structural signal with full coverage,0.49220624671596735,0.5460338222470773,HIGHER_LOW_STRUCTURE,rolling_low_4w_change,retains the core weekly progression semantic,LS pair,GOOD vs FALSE contrast is mixed,small labeled groups limit confidence,FULL_COVERAGE,Primary weekly structural candidate because it preserves higher-low information not reducible to prior-high proximity.,SCORE_CANDIDATE
WEEKLY,wma52_slope_1w,13E,HIGH,WEEKLY_CORE,SECONDARY,weekly long-term trend direction,RISING_SLOPE_IS_STRUCTURALLY_STRONGER,EXPECTED_POSITIVE,NO,40,0,GOOD_TRIGGER vs TOO_EARLY,0.5061728395061729,full coverage but high shadow correlation with daily DMA200,0.8138836772983115,0.9054409005628518,WEEKLY_TREND,close_vs_dma200_pct; wma12_vs_wma26_pct,weekly direction is more relevant than daily long-MA shadow,천일고속 pair,does not isolate a trigger; overlaps MA alignment,one-week slope can be noisy,FULL_COVERAGE,Kept as a secondary weekly source of trend direction; daily DMA200 is demoted to avoid duplicate cross-timeframe trend inputs.,SCORE_CANDIDATE
WEEKLY,wma12_vs_wma26_pct,13E,HIGH,WEEKLY_CORE,SECONDARY,weekly medium-term MA alignment,MORE_POSITIVE_ALIGNMENT_IS_STRONGER,EXPECTED_POSITIVE,NO,40,0,GOOD_TRIGGER vs TOO_EXTENDED,0.5061728395061729,describes extension as well as alignment,0.8138836772983115,0.8598499061913696,WEEKLY_ALIGNMENT,wma52_slope_1w; close_vs_dma200_pct,weekly alignment is retained before daily MA shadows,우리기술 good-vs-too-late pair,strong overlap with weekly slope and daily long-MA distance,nonlinear late/extended behaviour remains unresolved,FULL_COVERAGE,Secondary only: it is interpretable weekly alignment but must not duplicate trend and daily MA features as an independent primary.,SCORE_CANDIDATE
WEEKLY,rolling_low_4w_change,13E,HIGH,DIAGNOSTIC,DIAGNOSTIC,short weekly low progression,HIGHER_LOW_PROGRESS_IS_STRUCTURALLY_STRONGER,EXPECTED_POSITIVE,NO,40,0,GOOD_TRIGGER vs NO_SETUP,0.7037037037037037,useful progression explanation but overlaps higher-low count and breakout hold,0.843859649122807,0.8388367729831144,SHORT_PROGRESS,higher_weekly_low_count_13w; post_breakout_min_low_vs_level_pct_26w,helps explain short-term progression,안국약품 trigger anchor,correlation 0.844 with conditional breakout hold,short window is unstable and redundant with retained weekly structure,FULL_COVERAGE,Diagnostic only: it is a compact case-study aid but adds insufficient independent responsibility beside retained higher-low and conditional hold semantics.,DIAGNOSTIC_ONLY
DAILY,close_vs_dma200_pct,13F,HIGH,DIAGNOSTIC,DIAGNOSTIC,daily long-MA location,HIGHER_IS_STRUCTURALLY_STRONGER,EXPECTED_POSITIVE,NO,40,0,GOOD_TRIGGER vs NO_SETUP,0.7530864197530864,strong separation but cross-timeframe shadow of weekly trend,0.6656660412757974,0.9054409005628518,DAILY_MA_SHADOW,wma52_slope_1w; wma12_vs_wma26_pct,"daily context may explain an entry, never reverse weekly structure",에이치엠넥스 DMA200-below GOOD_TRIGGER,correlation 0.905 with weekly wma52 slope,daily long-MA location is not a hard eligibility condition,FULL_COVERAGE,"Diagnostic shadow only: weekly trend owns the structural responsibility, and the documented GOOD_TRIGGER below DMA200 rejects a daily hard filter.",DIAGNOSTIC_ONLY
DAILY,dma20_vs_dma60_pct,13F,HIGH,DIAGNOSTIC,DIAGNOSTIC,daily short/medium MA alignment,MORE_POSITIVE_ALIGNMENT_IS_STRONGER,EXPECTED_POSITIVE,NO,40,0,GOOD_TRIGGER vs TOO_EXTENDED,0.5555555555555556,daily alignment overlaps weekly low progression,0.6656660412757974,0.8388367729831144,DAILY_MA_SHADOW,rolling_low_4w_change; wma12_vs_wma26_pct,daily timing context only,우리기술 good-vs-too-late pair,correlation 0.839 with weekly rolling-low change,may duplicate weekly trigger-quality structure,FULL_COVERAGE,Diagnostic shadow only: daily MA alignment does not receive an independent core responsibility ahead of the weekly layer.,DIAGNOSTIC_ONLY
DAILY,recent_5d_max_gap_abs_pct,13F,HIGH,DAILY_TIMING_RISK,PRIMARY,recent maximum absolute daily gap / shock risk,LOWER_VOLATILITY_RISK_IS_PREFERABLE,EXPECTED_NEGATIVE,NO,40,0,GOOD_TRIGGER vs NO_SETUP,-0.9012345679012346,"strong separation from NO_SETUP, FALSE, and EXTENDED; direct shock interpretation",0.7906191369606004,0.4106941838649156,DAILY_VOLATILITY,atr_14_pct,represents discrete event-like gap risk rather than broad range,FALSE_TRIGGER review,moderately correlated with ATR,40-sample evidence; no risk cutoff is selected,FULL_COVERAGE,Chosen as the single primary daily volatility representative because it is directly interpretable as recent shock risk; ATR remains a secondary breadth check.,RISK_MODIFIER_CANDIDATE
DAILY,higher_daily_low_count_10d,13F,HIGH,HOLD_RESEARCH,HOLD,daily higher-low count,UNRESOLVED,UNRESOLVED,NO,40,0,GOOD_TRIGGER vs NO_SETUP,-0.4074074074074074,observed separation has counterintuitive sign,0.16125982852107482,0.274585887522722,DAILY_MICRO_STRUCTURE,higher_weekly_low_count_13w,possible base-versus-active-trigger interpretation,안국약품 trigger anchor,GOOD median is lower than NO_SETUP,causal and directional meaning not established,FULL_COVERAGE,Held for research: apparent separation is insufficient when the direction contradicts the naive structural reading.,NO_PRODUCTION_ROLE_YET
DAILY,gap_from_prev_close_pct,13F,HIGH,DIAGNOSTIC,DIAGNOSTIC,one-day directional gap,CONTEXT_DEPENDENT,UNRESOLVED,NO,40,0,GOOD_TRIGGER vs NO_SETUP,0.2839506172839506,low redundancy does not overcome one-day noise,0.16125982852107482,0.3764809489240205,DAILY_GAP,recent_5d_max_gap_abs_pct,useful single-bar explanation only,FALSE_TRIGGER review,7 exact-zero observations and weak label separation,tick and one-day noise sensitivity,FULL_COVERAGE,Diagnostic only: independence from other variables does not turn a noisy one-day observation into a timing primary.,DIAGNOSTIC_ONLY
DAILY,lower_wick_pct,13F,HIGH,DIAGNOSTIC,DIAGNOSTIC,single-candle lower-wick morphology,CONTEXT_DEPENDENT,UNRESOLVED,NO,40,0,GOOD_TRIGGER vs NO_SETUP,-0.6790123456790124,price-level artifact check passed but causal meaning is weak,0.41315258734883314,0.38923026451187753,DAILY_CANDLE,recent_5d_max_gap_abs_pct,candle description may help review,FALSE_TRIGGER review,mixed FALSE and EARLY evidence,single-candle instability,FULL_COVERAGE,Diagnostic only: morphology can annotate a case but is not assigned direct structural or risk authority.,DIAGNOSTIC_ONLY
DAILY,atr_14_pct,13F,HIGH,DAILY_TIMING_RISK,SECONDARY,rolling daily volatility breadth,LOWER_VOLATILITY_RISK_IS_PREFERABLE,EXPECTED_NEGATIVE,NO,40,0,GOOD_TRIGGER vs TOO_EXTENDED,-0.7530864197530864,broad range-risk context complements discrete gap shock,0.7906191369606004,0.500187617260788,DAILY_VOLATILITY,recent_5d_max_gap_abs_pct,moderate redundancy is explicitly consolidated,천일고속 extended case,Spearman 0.791 with max gap,does not receive equal primary responsibility,FULL_COVERAGE,Secondary volatility companion: it describes persistent range breadth while max-gap owns the primary short-shock role.,RISK_MODIFIER_CANDIDATE
