component,timeframe,feature_name,candidate_id,candidate_type,direction,lower_bound,upper_bound,boundary_inclusive,semantic_state,provenance,calibration_evidence,case_study_evidence,known_counterexample,missing_behavior,selected_for_prototype,production_frozen
weekly_core,WEEKLY,distance_to_prior_26w_high_pct,distance_to_prior_26w_high_pct_3,BOUNDARY,SWEET_SPOT,,0.3,YES,CANDIDATE,ROUNDED_CALIBRATION_GAP,bounded rounded candidate; not optimized,critical-pair review,small in-sample calibration,UNKNOWN,YES,NO
weekly_core,WEEKLY,higher_weekly_low_count_13w,higher_weekly_low_count_13w_1,BOUNDARY,HIGHER_IS_BETTER,,3.0,YES,CANDIDATE,ROUNDED_CALIBRATION_GAP,bounded rounded candidate; not optimized,critical-pair review,small in-sample calibration,UNKNOWN,YES,NO
weekly_core,WEEKLY,higher_weekly_low_count_13w,higher_weekly_low_count_13w_2,BOUNDARY,HIGHER_IS_BETTER,,5.0,YES,CANDIDATE,ROUNDED_CALIBRATION_GAP,bounded rounded candidate; not optimized,critical-pair review,small in-sample calibration,UNKNOWN,YES,NO
daily_risk,DAILY,recent_5d_max_gap_abs_pct,recent_5d_max_gap_abs_pct_1,BOUNDARY,LOWER_IS_LOWER_RISK,,0.03,YES,CANDIDATE,ROUNDED_CALIBRATION_GAP,bounded rounded candidate; not optimized,critical-pair review,small in-sample calibration,UNKNOWN,YES,NO
daily_risk,DAILY,recent_5d_max_gap_abs_pct,recent_5d_max_gap_abs_pct_2,BOUNDARY,LOWER_IS_LOWER_RISK,,0.07,YES,CANDIDATE,ROUNDED_CALIBRATION_GAP,bounded rounded candidate; not optimized,critical-pair review,small in-sample calibration,UNKNOWN,YES,NO
daily_risk,DAILY,atr_14_pct,atr_14_pct_1,BOUNDARY,LOWER_IS_LOWER_RISK,,0.03,YES,CANDIDATE,ROUNDED_CALIBRATION_GAP,bounded rounded candidate; not optimized,critical-pair review,small in-sample calibration,UNKNOWN,YES,NO
daily_risk,DAILY,atr_14_pct,atr_14_pct_2,BOUNDARY,LOWER_IS_LOWER_RISK,,0.07,YES,CANDIDATE,ROUNDED_CALIBRATION_GAP,bounded rounded candidate; not optimized,critical-pair review,small in-sample calibration,UNKNOWN,YES,NO
weekly_secondary,WEEKLY,wma52_slope_1w,wma52_slope_1w_zero,STRUCTURAL_ZERO,POSITIVE_IS_CONSTRUCTIVE,,0.0,YES,CANDIDATE,STRUCTURAL_ZERO,bounded rounded candidate; not optimized,critical-pair review,small in-sample calibration,UNKNOWN,YES,NO
weekly_secondary,WEEKLY,wma12_vs_wma26_pct,wma12_vs_wma26_pct_zero,STRUCTURAL_ZERO,POSITIVE_IS_CONSTRUCTIVE,,0.0,YES,CANDIDATE,STRUCTURAL_ZERO,bounded rounded candidate; not optimized,critical-pair review,small in-sample calibration,UNKNOWN,YES,NO
conditional_breakout,WEEKLY,post_breakout_min_low_vs_level_pct_26w,post_breakout_min_low_vs_level_pct_26w_zero,STRUCTURAL_ZERO,POSITIVE_IS_CONSTRUCTIVE,,0.0,YES,CANDIDATE,STRUCTURAL_ZERO,bounded rounded candidate; not optimized,critical-pair review,small in-sample calibration,EVENT_NOT_OBSERVED,YES,NO
